Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,C30C33,15pF,SMD-0805,2,
2,Unpolarized capacitor,C,C18,2n2,SMD-0805,1,~
3,Unpolarized capacitor,C,C15,3n3,SMD-0805,1,~
4,Unpolarized capacitor,C,C2C10C11C12C13C14C16C20,100nF,SMD-0805,8,~
5,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,C25C26C27C28C31C32C34C35C39C44C47C48C53C54C55,100nF,SMD-0805,15,
6,Unpolarized capacitor,C,C24,1uF,SMD-0805,1,~
7,Unpolarized capacitor,C,C3C17,4u7,SMD-0805,2,~
8,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,C43,4u7,SMD-0805,1,
9,Unpolarized capacitor,C,C4C6C7C8C9C21C23,10uF,SMD-0805,7,~
10,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,C22C36C38C40C42C49C50,10uF,SMD-0805,7,
11,,CP-Device,C1,47uF,TantalC_SizeC_Reflow,1,
12,Unpolarized capacitor,C,C19,1nF/NP0,SMD-0805,1,~
13,Unpolarized capacitor,C,C5,1pFNP0 251R15S1R0AV4E,SMD-0805,1,~
14,,EMI_Filter_C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,C29C45C51C52,NFM21PC105-1uF,FIR1,4,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb
15,,D-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,D1D3,"BZV55C-5,6V",D_MiniMELF,2,
16,,LED-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,D4,HLMP-K150+FIX-LED-313,LED_1206,1,
17,Photodiode,D_Photo,D2,S2744-09,HAMAMATSU_S2744-09,1,~
18,,Polyfuse-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,F1F2,SR010-15 100mA ,SMD-0805,2,
19,,HEADER_1x01-MLAB_HEADER,J4J5J6J7,HEADER_1x01,Straight_1x01,4,
20,,HEADER_2x01_PARALLEL-MLAB_HEADER,J1J2J3,HEADER_2x01_PARALLEL,Straight_1x02,3,
21,,HEADER_2x01_PARALLEL-MLAB_HEADER,J19,HEADER_2x01_PARALLEL,Straight_2x01,1,
22,,HEADER_2x03-MLAB_HEADER,J22,HEADER_2x03,Straight_2x03,1,
23,,L-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,L1,10uH - LQH32CN100K23L,SMD-1210,1,
24,"Inductor, small symbol",L_Small,L2L3,DFE252012P-4R7M,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,~
25,,HOLE-MLAB_MECHANICAL,M6M7,BMI-S-210-F,BMI-S-210-F,2,
26,Resistor,R,R28,0R,SMD-0805,1,~
27,Resistor,R,R1,10R,SMD-0805,1,~
28,Resistor,R,R2R3R4R5,470R,SMD-0805,4,~
29,Resistor,R,R8R10,1k,SMD-0805,2,~
30,Resistor,R,R13,2k2,SMD-0805,1,~
31,,R-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,R26,2k2,SMD-0805,1,
32,Resistor,R,R9R11R15R19R22,4k7,SMD-0805,5,~
33,Resistor,R,R7R12,10k,SMD-0805,2,~
34,,R-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,R20R21R23,10k,SMD-0805,3,
35,Resistor,R,R6,10M,SMD-0805,1,~
36,Resistor,R,R24R25R27,-,SMD-0805,3,~
37,,ATMEGA1284P-AU-atmel-DATALOGGER01A-rescue-CCP2019V01A-rescue,U10,ATMEGA1284P-AU,TQFP-44_10x10mm_P0.8mm,1,http://www.atmel.com/Images/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf
38,"2.0V 25μA Micropower Voltage Reference, SOT-23",ISL21070CIH320Z-TK,U3,ISL21080DIH312Z-TK  1V25,SOT-23,1,http://www.intersil.com/content/dam/Intersil/documents/fn75/fn7599.pdf
39,,AD8692-MLAB_IO,U1U2,OPA2314,SOIC-8_3.9x4.9mm_Pitch1.27mm,2,
40,,PCF85263A-MLAB_IO,U11,PCF85263A,TSSOP-10_3x3mm_Pitch0.5mm,1,
41,,TPS61322xA-MLAB_IO,U6,TPS613221ADBV,SOT-23-5,1,
42,,TPS61322xA-MLAB_IO,U8,TPS613222ADBV,SOT-23-5,1,
43,,TS5A4594-MLAB_IO,U5,TS5A4594,SOT-23-5_HandSoldering,1,
44,"Single Rail-to-Rail High Output Current Operational Amplifiers, SOT-23-5",OP179GRT,U4,TS7211,SOT-23-5_HandSoldering,1,http://www.analog.com/media/en/technical-documentation/data-sheets/OP179_279.pdf
45,Two pin crystal,Crystal,Y1,16MHz,Crystal_HC49-U_Vertical,1,~
46,,Crystal-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,Y2,ABS07-120-32.768KHZ-T,ABS07,1,
